id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
db437ab2-c203-473d-9359-30f370d57054,lambent.news,available,,,medium,low,7,,,
fc8e657f-9996-4887-b8c6-8223d5f152d6,aberrant.news,available,9.99,43.99,high,low,8,name.com,,
a95b91a3-bc6a-4bef-9e3d-f813d13a43ae,like.news,premium,1250,1250,high,low,4,name.com,,
eed8e564-dbcc-46ce-853f-b69f55252720,moveabout.news,available,17.99,,low,low,10,name.com,,
3e894313-fedf-4e2f-b288-76cda9682c60,spine.news,available,17.99,,high,low,5,name.com,,
0651573e-0d94-4b72-a188-b0ba6f52cd89,setsail.news,available,17.99,,medium,low,8,name.com,,
093130e8-859d-42a3-b7f4-cd509ec8c7b1,earlier.news,available,17.99,43.99,medium,low,7,name.com,,
c4debcbc-6aeb-4861-9594-06f7c59b26e8,determine.news,available,17.99,,high,low,9,name.com,,
9a9b8f92-5e65-4a8f-a502-c4993873b05d,fuckyou.news,available,17.99,,medium,low,8,name.com,,
8b9b564d-9ee2-4232-ba29-fd7e52ea9d76,bold.news,resell,,,high,low,4,"GoDaddy.com, LLC",16/07/2015 18:44,16/07/2026 18:44
4aaa0810-1af7-4684-a5ea-2843d69406c0,lvi.news,available,,,medium,low,3,,,
95ad2a43-f12e-4076-aeff-a9688acf3c99,aphanitic.news,available,,,medium,low,9,,,
8e0306df-e9a3-4e30-9662-df3d69d0c523,empowering.news,available,17.99,,high,low,10,name.com,,
f3e49550-d015-4aac-b078-c364c4ed2c61,closest.news,available,17.99,,medium,low,7,name.com,,
f2e296da-c9dd-498f-8ded-71a7be8fc6f6,taxreturn.news,available,17.99,,medium,low,10,name.com,,
e94e6cd2-b676-45bd-b025-94a9ad95031e,watson.news,available,,,high,low,6,,,
348dfddb-7097-4757-9b2a-4fed6da365ec,xliii.news,available,,,medium,low,5,,,
c9eededb-63df-4c25-abdc-c13155a0bbe2,dorightby.news,available,17.99,,high,low,11,name.com,,
230b1d5b-354a-4ad6-8a1e-613913209fc9,geometry.news,available,17.99,,medium,low,8,name.com,,
d69b1dc6-f3ab-4b17-a108-09c289c73af2,out.news,resell,,,high,low,3,"Xiamen ChinaSource Internet Service Co., Ltd",04/11/2025 15:15,04/11/2026 15:15
9d792587-b0fe-4b56-8cde-8d1c73acd594,anaphasic.news,available,,,medium,low,9,,,
c84ff196-aba4-4089-ab86-bab7fa4c003f,skyblue.news,available,,,medium,low,8,,,
25fd8ef6-e917-4974-b846-62eac1973160,perfectly.news,available,17.99,,high,low,9,name.com,,
c6b5e2c5-67b9-4267-9586-149dea7b2b41,inregardsto.news,available,17.99,,medium,low,13,name.com,,
9d108ab3-e2d3-4381-be3c-41bf34176f7f,astheysay.news,available,17.99,,medium,low,11,name.com,,
307160f0-76b2-4acc-9a01-43b1bd9e19e1,lxxxiii.news,available,,,medium,low,7,,,
aec83ed8-6d68-4c0e-bc88-ff9cdd5f7a06,arresting.news,available,,,medium,low,9,,,
9d566006-7296-4f7c-a218-ba6dbc27fd51,chocolatetruffle.news,available,17.99,,high,low,17,name.com,,
af6e936a-752e-49f6-b65a-4bb5c5356c06,babybottle.news,available,17.99,,high,low,11,name.com,,
ebba2753-384b-4111-aa08-bb5a5abe8ef3,publicservant.news,available,17.99,,high,low,14,name.com,,
98aa6809-4203-44a3-92b9-170edf75f3bd,brag.news,available,17.99,,high,low,4,name.com,,
edbc02a7-f241-427f-ad68-c1d7d4c3407a,realestate.news,premium,700,1400,medium,medium,11,namecheap,,
ff076a73-de5e-48b1-8995-db72c4e76b0c,adsorbate.news,available,,,medium,low,9,,,
a977284c-0ee0-4ea0-9c3a-fe2c812edc21,afroasian.news,available,,,medium,low,10,,,
9653bdfe-33e9-4d2e-94d4-9d1e90cae4dc,issuedate.news,available,17.99,,high,low,10,name.com,,
eafda8cf-e9a8-4e9a-ac59-ca950899577a,recognition.news,available,17.99,,medium,low,11,name.com,,
c658acc1-bff5-4e41-8940-398c26984ab1,homoecious.news,available,,,medium,low,10,,,
83abdf65-d0a0-4279-9306-a1c0f5f90c47,grass.news,premium,140,280,medium,low,5,namecheap,,
557f4a75-68b4-4d7f-84e1-f8ce6b849497,torturing.news,available,,,medium,low,9,,,
0ffa6710-4e38-4534-bd1e-735d191e7694,mouthwash.news,available,17.99,,low,low,10,name.com,,
dd1fe1ab-8bc1-4d5f-992f-a5a9bfeaf023,whitevanman.news,available,17.99,,low,low,13,name.com,,
e256b4f6-9abc-464a-837d-26f75ccf7157,eyeofthestorm.news,available,17.99,,medium,low,16,name.com,,
13b44f5e-56a2-4843-9627-688150ad0752,antique.news,available,17.99,43.99,high,low,7,name.com,,
9b0407b2-275e-49eb-9a1a-fb73f9ac0547,kinda.news,available,17.99,,high,low,5,name.com,,
586d0349-4d52-4557-ada3-1ab12f2d47f8,allthebest.news,available,17.99,,high,low,12,name.com,,
ee66bed2-ad83-48c8-b1e5-1a52f1a98322,male.news,premium,69.3,138.6,medium,low,4,namecheap,,
55681fd9-b031-42a5-9d2d-356440ab63a7,primer.news,available,17.99,,medium,low,6,name.com,,
3f214de7-db9c-4c9c-9cb7-c160f82da48e,corny.news,available,17.99,43.99,medium,low,5,name.com,,
bcb9fd8c-a02e-447f-bf26-22b5f2f6f42a,aloud.news,available,17.99,,high,low,5,name.com,,
595908a6-e8b4-4d5b-943a-6f91da942b00,bull.news,resell,,,medium,low,4,"Xiamen ChinaSource Internet Service Co., Ltd",30/01/2024 15:15,30/01/2027 15:15
b4f84f3b-292e-4f6d-b689-a01facd765cb,support.news,premium,69.3,138.6,high,medium,7,namecheap,,
